datetime,tempmax,tempmin,humidity,precip,windspeed,sealevelpressure,cloudcover,solarradiation
2012-06-17,23.4,16.9,86.7,7.4,22.7,1009.1,94.3,132.0
2012-06-18,26.1,16.7,83.2,57.2,18.7,1005.7,78.5,269.5
2012-06-19,24.3,17.1,90.6,34.1,16.9,1006.5,95.6,122.4
2012-06-20,24.9,16.9,89.6,6.6,20.9,1008.9,89.7,166.9
2012-06-21,26.3,16.7,83.4,0.1,19.1,1009.4,84.0,242.3
2012-06-22,27.7,14.9,81.9,10.4,16.6,1006.9,79.9,159.5
2012-06-23,26.1,16.9,91.1,31.2,24.8,1007.1,93.1,94.6
2012-06-24,25.4,16.8,84.1,21.1,15.8,1010.3,88.1,272.4
2012-06-25,24.4,18.2,89.7,22.4,16.2,1008.9,89.6,181.0
2012-06-26,24.4,16.9,85.2,5.9,14.4,1007.6,86.7,178.4
2012-06-27,25.5,16.9,85.1,9.2,16.6,1008.8,73.6,287.3
2012-06-28,25.6,18.6,86.7,4.6,13.0,1012.8,74.1,220.5
2012-06-29,26.7,19.9,81.5,5.6,10.1,1012.7825443786982,82.9,192.3
2012-06-30,26.0,19.5,83.7,1.7,17.3,1012.7650887573964,80.4,207.0
2013-06-01,29.7,17.2,84.3,3.8,19.1,1006.9,90.7,199.1
2013-06-02,29.2,17.6,80.4,6.5,12.2,1004.8,91.6,161.2
2013-06-03,29.7,18.1,79.2,8.0,15.5,1006.3,84.4,195.9
2013-06-04,29.1,18.9,80.6,19.4,19.8,1005.6,84.3,237.9
2013-06-05,30.9,17.2,77.6,11.4,20.5,1004.7,80.4,276.8
2013-06-06,33.1,17.9,77.0,0.4,19.4,1003.5,82.7,301.6
2013-06-07,32.1,16.9,76.6,18.9,21.2,1006.0,81.8,301.1
2013-06-08,31.1,18.9,79.9,10.9,16.9,1005.5,87.5,213.2
2013-06-09,24.2,17.4,86.8,3.2,12.2,1010.0,87.6,122.8
2013-06-10,26.3,16.7,84.2,4.0,13.3,1011.7,78.6,177.2
2013-06-11,27.9,19.2,83.3,10.1,11.2,1009.8,80.9,116.0
2013-06-12,29.2,16.1,80.7,4.7,13.7,1013.3,75.7,263.0
